element_id,name
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:0,Glioblastoma
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:1,central nervous system tumor
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:2,Plant alkaloids
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:3,oncology treatments
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:4,anti-GBM activity
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:5,Alkaloids
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:6,glioma cell viability
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:7,proliferation
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:8,migration and invasion
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:9,cell death
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:10,Bcl-2 and key signaling pathways
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:11,antiangiogenic effects
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:12,tumor weight
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:13,survival rates
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:14,Noscapine
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:15,favorable therapeutic potential
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:16,Lycorine
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:17,Capsaicin
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:18,Chelerythrine
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:19,Caffeine
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:20,Boldine
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:21,Colchicine
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:22,Tetrandrine
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:23,greater risks than benefits
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:24,Nitidine
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:25,Harmine
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:26,Harmaline
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:27,Cyclopamine
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:28,Cocaine
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:29,Brucine
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:30,Piperine
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:31,toxicity
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:32,Berberine
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:33,poor bioavailability
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:34,Kukoamine A
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:35,further pharmacological and toxicological evaluation
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:36,Cyclovirobuxine D
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:37,α-Solanine
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:38,Oxymatrine
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:39,Rutaecarpine
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:40,Evodiamine
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:41,Photodynamic therapy
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:42,light and a photosensitizer
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:43,Nanoparticles
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:44,photodynamic therapy
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:45,breast cancer
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:46,Strategies
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:47,therapeutic efficacy
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:48,reactive oxygen species production
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:49,photosensitizers
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:50,photosensitizers in systemic circulation
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:51,Preclinical studies
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:52,improvements in therapeutic efficacy
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:53,Improvements in therapeutic efficacy
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:54,inhibition of tumor growth
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:55,reduction in metastasis
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:56,improvement of immune microenvironment
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:57,Doxorubicin
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:58,anthracycline chemotherapeutic agent
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:59,various types of cancer
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:60,hydralazine
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:61,Combination of Doxorubicin and hydralazine
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:62,cardioprotective combination therapy
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:63,Combination therapy
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:64,use of reduced Doxorubicin dose
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:65,Doxorubicin and hydralazine
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:66,PEGylated liposomes
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:67,ethanol injection method
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:68,Lip-DOX-HDZ
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:69,158 ± 18 nm
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:70,0.22 ± 0.08
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:71,-22 ± 5 mV
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:72,Encapsulation efficiency of Doxorubicin in Lip-DOX-HDZ
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:73,90%
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:74,Encapsulation efficiency of hydralazine in Lip-DOX-HDZ
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:75,30%
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:76,MDA-MB-231 breast cancer cell line
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:77,MCF7 breast cancer cell line
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:78,HDF normal cells
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:79,H9C2 cardiac normal cells
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:80,normal cells compared to breast cancer cells
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:81,Cancer cells
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:82,iron
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:83,Iron
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:84,cancer cell proliferation
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:85,cancer cell invasion
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:86,cancer cell metastasis
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:87,Excess iron
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:88,reactive oxygen species
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:89,Reactive oxygen species
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:90,ferroptosis
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:91,oncogenic signaling pathways
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:92,Deregulation of iron metabolism in cancer patients
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:93,anemia
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:94,toxic iron overload
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:95,gut microbiota
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:96,Lactoferrin
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:97,strong iron chelating properties
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:98,iron to cancer cells
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:99,cancer cell growth
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:100,cancer progression
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:101,free Fe ions
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:102,oxidative stress
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:103,mechanisms that promote carcinogenesis
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:104,immunomodulatory effects
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:105,anti-inflammatory effects
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:106,body's anti-tumor response
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:107,Paclitaxel
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:108,multi-target antitumor effects
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:109,Camptothecin
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:110,Curcumin
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:111,Drug resistance
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:112,applications of natural products
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:113,Non-specific distribution
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:114,Small RNAs
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:115,precise antitumor effects through gene regulation
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:116,low delivery efficiency
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:117,degradation by nucleases
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:118,Nanomaterial-based drug delivery systems
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:119,efficient platform for co-delivery of natural products and small RNAs
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:120,targeting of delivery
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:121,synergistic antitumor effects
4:54096497-a51b-49c1-979f-bc0dbd8f50d3:122,Androgen receptors
