pubmed_id,doi,title
40287880,10.1007/s11701-025-02358-6,Comparison of surgical outcomes between robotic and laparoscopic surgery for mid-low rectal cancer: a meta-analysis of randomized controlled trials.
40287875,10.1080/09513590.2025.2497854,Reproductive hormone characteristics of obese Chinese patients with polycystic ovarian syndrome: a meta-analysis.
40287845,10.1002/cam4.70674,Network-Based Integrative Analysis to Identify Key Genes and Corresponding Reporter Biomolecules for Triple-Negative Breast Cancer.
40287844,10.1002/cam4.70775,Quality for All: Clinical Trial Enrollment and End-of-Life Care in Solid and Hematologic Malignancies.
40287842,10.1002/cam4.70717,"Evaluation of Integrin Glycovariants as Biomarkers of Metastasis, Invasion, and Therapy Stratification in Head and Neck Squamous Cell Carcinoma."
40287817,10.1111/liv.70075,Mortality for Any Hepatic Cause in People With Diabetes Compared to the Non-Diabetic Population. A 10-Year-Observational Study.
40287808,10.24976/Discov.Med.202537195.63,Exploring the lncRNA NEAT1/iASPP Pathway in Chordoma: Mechanisms of Proliferation Suppression and Apoptosis Induction.
40287803,10.24976/Discov.Med.202537195.58,Celastrol Targets <i>FANCD2</i> to Induce Autophagy-Dependent Ferroptosis in Hepatocellular Carcinoma Cells.
40287802,10.24976/Discov.Med.202537195.57,"Protective Role of Protocatechuic Acid in Glioma: Modulation of Cell Growth, Migration, and Pyroptosis via NLRP3/Caspase-1/GSDMD Axis."
40287800,10.24976/Discov.Med.202537195.55,Immunomodulatory Role of T Cell Immunoglobulin and Mucin Domain-3 in Cancer.
40287799,10.24976/Discov.Med.202537195.54,CAR-T Therapy for the Treatment of Colorectal Cancer.
40287789,10.16288/j.yczz.24-291,Analysis of regulatory mechanisms of enhancers in gastric cancer with double minute chromosomes based on bioinformatics.
40287766,10.1186/s12964-025-02183-2,N-terminal truncation of STAT1 transcription factor causes CD3- and CD20-negative non-Hodgkin lymphoma through upregulation of STAT3-mediated oncogenic functions.
40287765,10.1186/s12957-025-03815-0,Current laser application in En bloc resection of bladder tumor- a narrative literature review.
40287762,10.1186/s12951-025-03321-1,Macrophage-derived exosomes in cancer: a double-edged sword with therapeutic potential.
40287759,10.1186/s13000-025-01653-y,Clinical analysis of lymphoma with malignant solid tumor simultaneously: a retrospective case series.
40287758,10.1186/s12943-025-02328-4,The application of organoids in investigating immune evasion in the microenvironment of gastric cancer and screening novel drug candidates.
40287752,10.1186/s12957-025-03822-1,Causal effect of gut microbiota on the risk of cancer and potential mediation by inflammatory proteins.
40287750,10.1186/s12957-025-03819-w,An MRI-based fusion model for preoperative prediction of perineural invasion status in patients with intrahepatic cholangiocarcinoma.
40287739,10.1186/s40001-025-02571-x,Meta-analysis on the effectiveness and safety of venetoclax-based combination therapy with hypomethylation in acute myeloid leukemia.
40287734,10.1186/s12957-025-03765-7,Predictive factors and prognostic models for Hepatic arterial infusion chemotherapy in Hepatocellular carcinoma: a comprehensive review.
40287731,10.1186/s40001-025-02513-7,Establishment and validation of a novel prognostic nomogram for gallbladder cancer patients.
40287713,10.1186/s12957-025-03817-y,"A cross-sectional study of serum lipids, body mass index and age relationships with breast cancer risk."
40287708,10.1186/s13072-025-00585-7,H3F3A K27M mutations drive a repressive transcriptome by modulating chromatin accessibility independent of H3K27me3 in Diffuse Midline Glioma.
40287704,10.1186/s12957-025-03698-1,SCNN1A expression in triple-negative breast cancer: clinical implications for prognosis and neoadjuvant therapy response.
40287701,10.1186/s12893-024-02665-z,Venous thromboembolism in patients undergoing pancreatic cancer surgery (PaTR-VTE) with curative intent; protocol of a prospective observational study.
40287692,10.1186/s12958-025-01396-x,Granulosa cell RNA-Seq insights into senescence and sphingolipid metabolism disorder in PCOS: aspirin as a potential therapeutic drug.
40287682,10.1186/s12951-025-03353-7,Drug-loaded indocyanine green J-aggregates activate metalloimmunotherapy for sustained photothermal therapy of hepatocellular carcinoma.
40287676,10.1186/s12957-025-03771-9,Peritoneal cytology predicting distant metastasis in uterine carcinosarcoma: machine learning model development and validation.
40287672,10.1186/s12905-025-03741-z,A cross-sectional analysis of factors associated with cervical cancer screening in a large midwest primary care setting.
40287648,10.1186/s12931-025-03245-2,More accessible functional lung imaging: non-contrast CT-ventilation demonstrates strong association and agreement with PET-ventilation.
40287642,10.1186/s12889-025-22771-8,The effect on colorectal cancer incidence and staging with population-based FOBT-screening in Sweden.
40287640,10.1186/s12885-025-14189-7,The LncRNA RMST-miR-4295-ITPR1 axis: a key mechanism in regulating autophagy in triple-negative breast cancer cells.
40287635,10.1186/s12885-025-14163-3,C-reactive protein to albumin ratio combined with the Systemic Inflammatory Response Index predicts the prognosis of patients undergoing radical hepatectomy.
40287623,10.1186/s12885-025-14174-0,Comprehensive pan-cancer analysis of CHRDL1 and experimental validation of its role in lung adenocarcinoma.
40287532,10.1007/s00262-025-04027-x,Dynamics of tertiary lymphoid structures and immune cross talk in early versus advanced colorectal cancer: potential implications for immunotherapy.
40287503,10.1038/s41598-025-98735-0,"Crosstalk of lactate metabolism-related subtypes, establishment of a prognostic signature and immune infiltration characteristics in colon adenocarcinoma."
40287496,10.1038/s41598-025-99302-3,Accurate quantification of cell-free Ceruloplasmin mRNA as a biomarker for early detection of hepatocellular carcinoma.
40287494,10.1038/s41598-025-99535-2,A deep learning-based multimodal medical imaging model for breast cancer screening.
40287486,10.1038/s41598-025-99451-5,A non-invasive diagnostic approach for neuroblastoma utilizing preoperative enhanced computed tomography and deep learning techniques.
40287474,10.1038/s41598-025-93890-w,Therapeutic effects and potential mechanisms of caffeine on obese polycystic ovary syndrome: bioinformatic analysis and experimental validation.
40287473,10.1038/s41598-025-96562-x,PKM2 modulates chemotherapy sensitivity by regulating autophagy and predicts the prognosis and immunity in pancancer.
40287454,10.1038/s41598-025-97295-7,ALBI-sarcopenia score as a predictor of treatment outcomes in hepatocellular carcinoma.
40287444,10.1038/s41419-025-07678-x,Fusion of glioma-associated mesenchymal stem/stromal cells with glioma cells promotes macrophage recruitment and M2 polarization via m<sup>6</sup>A modification of CSF1.
40287438,10.1038/s41598-025-98222-6,The significance of the depth of invasion and tumor size in resected pathologic T4a gingivobuccal squamous cell carcinoma.
40287432,10.1038/s41467-025-59356-3,Perturbing local steroidogenesis to improve breast cancer immunity.
40287431,10.1038/s41467-025-59282-4,p53 protein degradation redefines the initiation mechanisms and drives transitional mutations in colorectal cancer.
40287430,10.1038/s41598-025-87401-0,Identification of genomic variants associated with colorectal cancer heredity in indigenous populations of the Amazon.
40287412,10.1038/s41419-025-07615-y,MMP1-induced NF-κB activation promotes epithelial-mesenchymal transition and sacituzumab govitecan resistance in hormone receptor-positive breast cancer.
40287404,10.1038/s41598-025-86599-3,TLK1 as a therapeutic target in TMZ resistant glioblastoma using small molecule inhibitor.
40287393,10.3760/cma.j.cn112141-20241021-00563,[Clinical application of transvaginal core needle biopsy for pelvic masses under finger guidance via vagino-recto-abdominal examination].
40287268,10.1016/j.cld.2024.12.003,Role of Liver Transplant in Primary and Secondary Liver Malignancies.
40287257,10.1016/j.tvir.2025.101022,Transvenous biopsy of abdominal-pelvic lesions with no safe percutaneous access: How we do it.
40287249,10.1016/j.mric.2025.01.005,Intramedullary Spinal Cord Tumors and Tumor-Like Lesions.
40287222,10.1016/j.jmoldx.2025.02.005,Analytical Validation of Next-Generation Sequencing-Based Comprehensive Liquid Biopsy Assay for Therapy Selection.
40287221,10.1016/bs.ircmb.2024.03.009,Multi-omic features and clustering phenotypes of circulating tumor cells associated with metastasis and clinical outcomes.
40287220,10.1016/bs.ircmb.2024.03.002,Epigenetics and CTCs: New biomarkers and impact on tumor biology.
40287219,10.1016/bs.ircmb.2024.06.005,Advances in metastatic prostate cancer circulating tumor cell enrichment technologies and clinical studies.
40287218,10.1016/bs.ircmb.2025.01.009,Circulation tumor cell isolation and enrichment technologies.
40287217,10.1016/bs.ircmb.2024.10.001,CTCs and liquid biopsies in patients with colorectal cancer.
40287216,10.1016/bs.ircmb.2024.03.001,Circulating tumor cells in lung cancer: Integrating stemness and heterogeneity to improve clinical utility.
40287170,10.1016/j.iac.2025.01.010,The Current and Future of Biomarkers of Immune Related Adverse Events.
40287157,10.1136/bcr-2024-261751,"Giant cell tumour of the parotid gland: a rare, unusual entity."
40287151,10.1136/bcr-2024-260520,Benign conjunctival fibrous histiocytoma involving the medial rectus.
40286322,10.1111/cts.70221,Clinical Pharmacology Overview of Tislelizumab in Patients With Advanced Tumors With a Focus on Racial Impact.
40286320,10.1111/cts.70223,Alternative Dosing Regimens of Tislelizumab Using a Pharmacometrics Model-Based Approach.
40286306,10.7547/24-088,"A Nonhealing, Painful, Exophytic, Eroded Nodule on the Left Fifth Toe."
40286304,10.7547/23-046,Techniques for the Management of Recurrent Ankle Equinus Deformity Due to a Hemangioma of the Calf.
40286289,10.7547/23-077,"A Case of Primary Cutaneous Diffuse Large B-Cell Lymphoma, Leg Type in the Metatarsal Bone."
40286261,10.1002/cpz1.70139,A Highly Sensitive Tissue-specific qRT-PCR-based Assay for Detection of Melanoma Cells in Tumor-Draining Lymph Nodes.
40286187,10.3390/molecules30071561,Plant Alkaloids as Promising Anticancer Compounds with Blood-Brain Barrier Penetration in the Treatment of Glioblastoma: In Vitro and In Vivo Models.
40286175,10.3390/molecules30071571,Nanoparticles for Photodynamic Therapy of Breast Cancer: A Review of Recent Studies.
40286151,10.3390/molecules30071549,Remote Co-Loading of Doxorubicin and Hydralazine into PEGylated Liposomes: In Vitro Anti-Proliferative Effect Against Breast Cancer.
40286136,10.3390/molecules30071507,Lactoferrin-A Regulator of Iron Homeostasis and Its Implications in Cancer.
40286130,10.3390/molecules30071495,The Co-Delivery of Natural Products and Small RNAs for Cancer Therapy: A Review.
40286049,10.3390/molecules30071411,Androgen Receptors in Human Breast Cancer and Female Canine Mammary Tumors.
40286013,10.3390/molecules30071414,Indocyanine Green-Loaded Quenched Nanoliposomes as Activatable Theranostics for Cancer.
40286004,10.1007/s12032-025-02736-y,TGFBI promotes EMT and perineural invasion of pancreatic cancer via PI3K/AKT pathway.
40285945,10.1007/s00520-025-09440-7,"Incidence and management of diarrhoea associated with abemaciclib and endocrine therapy for hormone-receptor positive, HER2-negative metastatic breast cancer: the UK patients' experiences."
40285944,10.1007/s10143-025-03536-8,"The safety and efficacy of VEGFR tyrosine kinase inhibitors for patients with gliomas: a systematic review, meta-analysis, and a specific analysis on glioblastoma."
40285941,10.1007/s00432-025-06208-8,First-line pazopanib in patients with metastatic epithelioid hemangioendothelioma: a retrospective single-center analysis.
40285937,10.1007/s00520-025-09491-w,Are those all my options? Evaluating oncologists' communication strategies in treatment and clinical trial discussions by race and gender.
40285932,10.1007/s10735-025-10423-5,Identification of the oncogenic role of centromere protein M in non-small cell lung cancer via CDC20/MYBL2/Wnt signaling pathways.
40285921,10.1007/s00520-025-09444-3,"Exploring the real-world experience of abemaciclib treatment for HR +, HER2 - metastatic breast cancer-a qualitative analysis of the IMPACTOR study."
40285919,10.1007/s00520-025-09481-y,The risk factors influencing nonroutine discharge in surgical patients with spinal metastases: a scoping review.
40285898,10.1007/s10565-025-10022-w,SDH defective cancers: molecular mechanisms and treatment strategies.
40285896,10.1007/s00520-025-09473-y,Use of NCCN distress thermometer in cancer genetics patients.
40285890,10.1007/s00381-025-06815-3,Craniopharyngiomas in children: the pendulum moves again for an aggressive surgery-late complications and considerations with a recent series of 26 patients treated in Lyon.
40285889,10.1007/s00262-025-04042-y,Blockade of TIGAR prevents CD8<sup>+</sup> T cell dysfunction and elicits anti-AML immunity.
40285885,10.1007/s00520-025-09438-1,Lymphedema management in patients with head and neck cancer: a systematic review of randomized controlled trials on physical therapy interventions.
40285867,10.1007/s10565-025-10025-7,"Lipotoxicity, lipid peroxidation and ferroptosis: a dilemma in cancer therapy."
