pubmed_id,doi,title
40279065,10.1007/s12105-025-01790-2,Immunohistochemical Expression of PARK2 and YAP in Oral Epithelial Dysplasia and Oral Squamous Cell Carcinoma.
40279034,10.1007/s12105-025-01785-z,Ghost Cell Odontogenic Carcinoma of the Anterior Maxilla with ARID1A Mutation: A Case Report and Literature Review.
40279002,10.1186/s43046-025-00269-z,Upregulated ATG4B predicts poor prognosis and correlates with angiogenesis in osteosarcoma.
40278994,10.1007/s12105-025-01784-0,Novel Genetic Risk Variants Associated with Oral Tongue Squamous Cell Carcinoma.
40278985,10.1007/s12105-025-01781-3,Chondrosarcoma in the Posterior Maxilla Region.
40278970,10.1007/s12105-025-01787-x,Loss of Heterozygosity in Oral Potentially Malignant Disorders and Oral Squamous Cell Carcinoma - A Scoping Review.
40278968,10.1007/s10735-025-10421-7,N6-methyladenosine-modified circ_0000517 promotes non-small cell lung cancer metastasis via miR-1233-3p/CDH6 axis.
40278959,10.1007/s10856-025-06883-6,"Comparison of structural, optical, and thermal properties in MoS<sub>2</sub> based nanocomposites into cancer therapy."
40278957,10.1007/s12105-025-01789-9,Melanotic Neuroectodermal Tumor of Infancy: Clinicopathological Evaluation of a 10-Year Consecutive Case Series from a Tertiary Cancer Center.
40278951,10.1007/s10238-025-01662-7,The role of CXC chemokines and receptors in breast cancer.
