element_id,name
4:21a121b1-edc6-4f27-92d9-a818cb434acd:0,Activation of NOTCH pathway
4:21a121b1-edc6-4f27-92d9-a818cb434acd:1,Specific markers and signaling pathways of cancer stem cells
4:21a121b1-edc6-4f27-92d9-a818cb434acd:2,treatment targets
4:21a121b1-edc6-4f27-92d9-a818cb434acd:3,Glioma stem cells
4:21a121b1-edc6-4f27-92d9-a818cb434acd:4,immunosuppressive effectors mimicking regulatory T cells
4:21a121b1-edc6-4f27-92d9-a818cb434acd:5,Immunosuppressive Treg-like GSC state
4:21a121b1-edc6-4f27-92d9-a818cb434acd:6,mesenchymal GSC subset
4:21a121b1-edc6-4f27-92d9-a818cb434acd:7,TGFβ type II receptor (TGFBR2)
4:21a121b1-edc6-4f27-92d9-a818cb434acd:8,TGFBR1
4:21a121b1-edc6-4f27-92d9-a818cb434acd:9,Transgenic TGFBR2 expression in patient-derived GBM neurospheres
4:21a121b1-edc6-4f27-92d9-a818cb434acd:10,mesenchymal transition
4:21a121b1-edc6-4f27-92d9-a818cb434acd:11,six-gene ITL signature
4:21a121b1-edc6-4f27-92d9-a818cb434acd:12,Six-gene ITL signature
4:21a121b1-edc6-4f27-92d9-a818cb434acd:13,CD274 (PD-L1)
4:21a121b1-edc6-4f27-92d9-a818cb434acd:14,NT5E (CD73)
4:21a121b1-edc6-4f27-92d9-a818cb434acd:15,ENTPD1 (CD39)
4:21a121b1-edc6-4f27-92d9-a818cb434acd:16,LGALS1 (galectin-1)
4:21a121b1-edc6-4f27-92d9-a818cb434acd:17,PDCD1LG2 (PD-L2)
4:21a121b1-edc6-4f27-92d9-a818cb434acd:18,TGFB1
4:21a121b1-edc6-4f27-92d9-a818cb434acd:19,TGFBR2-driven ITL signature
4:21a121b1-edc6-4f27-92d9-a818cb434acd:20,clinical GBM specimens
4:21a121b1-edc6-4f27-92d9-a818cb434acd:21,patient-derived GSCs
4:21a121b1-edc6-4f27-92d9-a818cb434acd:22,systemic mesenchymal malignancies
4:21a121b1-edc6-4f27-92d9-a818cb434acd:23,TGFBR2high GSCs
4:21a121b1-edc6-4f27-92d9-a818cb434acd:24,CD4+ T cell viability
4:21a121b1-edc6-4f27-92d9-a818cb434acd:25,CD8+ T cell viability
4:21a121b1-edc6-4f27-92d9-a818cb434acd:26,capacity of CD4+ and CD8+ T cells to kill GBM cells
4:21a121b1-edc6-4f27-92d9-a818cb434acd:27,Pharmacologic and shRNA-based TGFBR2 inhibition
4:21a121b1-edc6-4f27-92d9-a818cb434acd:28,inhibition of CD4+ and CD8+ T cell viability and function by TGFBR2high GSCs
4:21a121b1-edc6-4f27-92d9-a818cb434acd:29,Immunosuppressive GSC state
4:21a121b1-edc6-4f27-92d9-a818cb434acd:30,true
4:21a121b1-edc6-4f27-92d9-a818cb434acd:31,TGFBR2-targeted therapeutics
4:21a121b1-edc6-4f27-92d9-a818cb434acd:32,HMGB1
4:21a121b1-edc6-4f27-92d9-a818cb434acd:33,various cancers
4:21a121b1-edc6-4f27-92d9-a818cb434acd:34,RAGE
4:21a121b1-edc6-4f27-92d9-a818cb434acd:35,HMGB1/RAGE signaling pathway
4:21a121b1-edc6-4f27-92d9-a818cb434acd:36,Metformin
4:21a121b1-edc6-4f27-92d9-a818cb434acd:37,HMGB1 pro-inflammatory functions
4:21a121b1-edc6-4f27-92d9-a818cb434acd:38,HMGB1-induced cell migration
4:21a121b1-edc6-4f27-92d9-a818cb434acd:39,RAGE stabilization on the cell membrane
4:21a121b1-edc6-4f27-92d9-a818cb434acd:40,NF-κB signaling
4:21a121b1-edc6-4f27-92d9-a818cb434acd:41,epithelial-to-mesenchymal transition
4:21a121b1-edc6-4f27-92d9-a818cb434acd:42,E-cadherin
4:21a121b1-edc6-4f27-92d9-a818cb434acd:43,vimentin
4:21a121b1-edc6-4f27-92d9-a818cb434acd:44,β-catenin at the cell membrane
4:21a121b1-edc6-4f27-92d9-a818cb434acd:45,HMGB1 protein levels
4:21a121b1-edc6-4f27-92d9-a818cb434acd:46,RAGE protein levels
4:21a121b1-edc6-4f27-92d9-a818cb434acd:47,HMGB1/RAGE positive feedback loop
4:21a121b1-edc6-4f27-92d9-a818cb434acd:48,cancer aggressiveness
4:21a121b1-edc6-4f27-92d9-a818cb434acd:49,HMGB1/RAGE-driven metastasis
4:21a121b1-edc6-4f27-92d9-a818cb434acd:50,Lung cancer
4:21a121b1-edc6-4f27-92d9-a818cb434acd:51,very poor prognosis
4:21a121b1-edc6-4f27-92d9-a818cb434acd:52,Immunotherapy
4:21a121b1-edc6-4f27-92d9-a818cb434acd:53,mainstay therapy mode
4:21a121b1-edc6-4f27-92d9-a818cb434acd:54,targeted therapies
4:21a121b1-edc6-4f27-92d9-a818cb434acd:55,Combination therapy
4:21a121b1-edc6-4f27-92d9-a818cb434acd:56,efficacy
4:21a121b1-edc6-4f27-92d9-a818cb434acd:57,resistance
4:21a121b1-edc6-4f27-92d9-a818cb434acd:58,Several genetic signatures
4:21a121b1-edc6-4f27-92d9-a818cb434acd:59,therapy resistance
4:21a121b1-edc6-4f27-92d9-a818cb434acd:60,metastatic potential
4:21a121b1-edc6-4f27-92d9-a818cb434acd:61,Machine learning techniques
4:21a121b1-edc6-4f27-92d9-a818cb434acd:62,predictive potential of genetic signatures
4:21a121b1-edc6-4f27-92d9-a818cb434acd:63,Artificial intelligence
4:21a121b1-edc6-4f27-92d9-a818cb434acd:64,Immune checkpoint inhibitors
4:21a121b1-edc6-4f27-92d9-a818cb434acd:65,key aspect of immunotherapy
4:21a121b1-edc6-4f27-92d9-a818cb434acd:66,PD-L1 expression
4:21a121b1-edc6-4f27-92d9-a818cb434acd:67,molecular biomarker
4:21a121b1-edc6-4f27-92d9-a818cb434acd:68,Tumour mutation burden
4:21a121b1-edc6-4f27-92d9-a818cb434acd:69,Immunoscore
4:21a121b1-edc6-4f27-92d9-a818cb434acd:70,Neoantigens
4:21a121b1-edc6-4f27-92d9-a818cb434acd:71,molecular biomarkers
4:21a121b1-edc6-4f27-92d9-a818cb434acd:72,treatment response
4:21a121b1-edc6-4f27-92d9-a818cb434acd:73,tissues
4:21a121b1-edc6-4f27-92d9-a818cb434acd:74,targeted organs
4:21a121b1-edc6-4f27-92d9-a818cb434acd:75,Softness of cancer cells
4:21a121b1-edc6-4f27-92d9-a818cb434acd:76,universal physical marker for malignancy of cancer types
4:21a121b1-edc6-4f27-92d9-a818cb434acd:77,Stiffer cancer cells
4:21a121b1-edc6-4f27-92d9-a818cb434acd:78,more metastases
4:21a121b1-edc6-4f27-92d9-a818cb434acd:79,Biophysical techniques
4:21a121b1-edc6-4f27-92d9-a818cb434acd:80,mechanical properties of cancer cells
4:21a121b1-edc6-4f27-92d9-a818cb434acd:81,Culture and measurement conditions of cancer cells
4:21a121b1-edc6-4f27-92d9-a818cb434acd:82,mechanical measurements
4:21a121b1-edc6-4f27-92d9-a818cb434acd:83,Microenvironment
4:21a121b1-edc6-4f27-92d9-a818cb434acd:84,mechanical characteristics of cancer cells
4:21a121b1-edc6-4f27-92d9-a818cb434acd:85,Combinatorial approaches
4:21a121b1-edc6-4f27-92d9-a818cb434acd:86,malignant potential of tumors
4:21a121b1-edc6-4f27-92d9-a818cb434acd:87,ECM involvement
